Ranking IDHM 2010;Município;IDHM 2010
4123;Dom Expedito Lopes;0.601
4123;Taipas do Tocantins;0.601
4123;Santa Cruz do Piauí;0.601
4123;Bequimão;0.601
4123;Pereiro;0.601
4123;Águas Vermelhas;0.601
4123;Nova Floresta;0.601
4123;Mutuípe;0.601
4123;Lagoa D'Anta;0.601
4123;Reriutaba;0.601
4123;Jucurutu;0.601
4123;Alto Santo;0.601
4123;Ribeira do Pombal;0.601
4123;Cotriguaçu;0.601
4123;Cândido Sales;0.601
4144;Alcântaras;0.600
4144;Rio Sono;0.600
4144;Paulistana;0.600
4144;Coribe;0.600
4144;Coronel Domingos Soares;0.600
4144;Wanderley;0.600
4144;Feira Nova;0.600
4144;Barão de Melgaço;0.600
4144;Santo André;0.600
4144;Piquet Carneiro;0.600
4144;Itiruçu;0.600
4144;Nossa Senhora das Dores;0.600
4144;Inácio Martins;0.600
4144;Moreilândia;0.600
4144;São Pedro dos Crentes;0.600
4144;São Geraldo da Piedade;0.600
4144;Chorrochó;0.600
4144;Cidelândia;0.600
4144;Catas Altas da Noruega;0.600
4144;Itinga;0.600
4144;Assaré;0.600
4144;Piranga;0.600
4144;Bragança;0.600
4167;Martinópole;0.599
4167;Tasso Fragoso;0.599
4167;Capela do Alto Alegre;0.599
4167;Gavião;0.599
4167;Iraquara;0.599
4167;Santa Luzia do Paruá;0.599
4167;Peri Mirim;0.599
4167;Malhada dos Bois;0.599
4167;Pedra Branca;0.599
4167;Mansidão;0.599
4167;Tanque Novo;0.599
4167;Lafaiete Coutinho;0.599
4167;Mãe do Rio;0.599
4167;Cravolândia;0.599
4167;Hugo Napoleão;0.599
4167;Boa Ventura;0.599
4167;Padre Carvalho;0.599
4167;Alagoinha;0.599
4167;Agricolândia;0.599
4167;Itabela;0.599
4167;Itapecuru Mirim;0.599
4167;Barro;0.599
4167;Itajuípe;0.599
4167;Porto Estrela;0.599
4167;Antonina do Norte;0.599
4167;Bandeira;0.599
4167;Chã Grande;0.599
4167;Itapé;0.599
4167;Terra Nova;0.599
4167;Xapuri;0.599
4167;Parnamirim;0.599
4198;São João Batista;0.598
4198;Chapada do Norte;0.598
4198;Altinho;0.598
4198;Seringueiras;0.598
4198;Jucás;0.598
4198;Nossa Senhora de Lourdes;0.598
4198;Monte das Gameleiras;0.598
4198;Serrinha dos Pintos;0.598
4198;Antônio Gonçalves;0.598
4198;Belmonte;0.598
4198;Santa Maria do Pará;0.598
4198;Amarante;0.598
4198;Boa Viagem;0.598
4198;Santaluz;0.598
4198;Urandi;0.598
4198;Pombos;0.598
4198;Iguaraci;0.598
4215;Serra Negra do Norte;0.597
4215;Tanquinho;0.597
4215;São Domingos;0.597
4215;Lagoa Grande;0.597
4215;Frutuoso Gomes;0.597
4215;Cariús;0.597
4215;Hidrolândia;0.597
4215;Sirinhaém;0.597
4215;Angelândia;0.597
4215;Santa Luzia do Norte;0.597
4215;Morro do Pilar;0.597
4215;Lagoinha do Piauí;0.597
4215;Fernando Pedroza;0.597
4215;Nova Fátima;0.597
4215;Aguiar;0.597
4215;Bom Jesus;0.597
4215;Novo Horizonte;0.597
4215;Materlândia;0.597
4215;Maribondo;0.597
4215;Brejões;0.597
4215;Brejo do Cruz;0.597
4215;Flores de Goiás;0.597
4215;Magalhães Barata;0.597
4238;Central;0.596
4238;Cariré;0.596
4238;Vitória do Mearim;0.596
4238;Manaquiri;0.596
4238;Upanema;0.596
4238;São Braz do Piauí;0.596
4238;Lapão;0.596
4238;Machadinho D'Oeste;0.596
4238;Colinas;0.596
4238;Muricilândia;0.596
4238;Padre Paraíso;0.596
4238;Cocos;0.596
4238;Cacimba de Areia;0.596
4238;Governador Jorge Teixeira;0.596
4238;Vitória do Xingu;0.596
4238;Piracuruca;0.596
4238;Novo Jardim;0.596
4255;João Câmara;0.595
4255;Ponto dos Volantes;0.595
4255;Presidente Kubitschek;0.595
4255;Itacuruba;0.595
4255;Arauá;0.595
4255;Solânea;0.595
4255;Serra do Ramalho;0.595
4255;Granito;0.595
4255;Santa Rosa do Tocantins;0.595
4255;Barras;0.595
4255;São Geraldo do Araguaia;0.595
4255;Trindade;0.595
4255;Serrita;0.595
4255;Alagoinha;0.595
4255;Emas;0.595
4255;Nova Nazaré;0.595
4255;São Bento do Trairí;0.595
4255;Zé Doca;0.595
4255;Ouro Verde de Minas;0.595
4255;Igarapé-Açu;0.595
4255;Nova Palmeira;0.595
4255;Eliseu Martins;0.595
4255;Paranã;0.595
4255;São Lourenço do Piauí;0.595
4255;Acopiara;0.595
4255;Jundiá;0.595
4255;Codó;0.595
4255;Pirpirituba;0.595
4255;São Pedro do Piauí;0.595
4284;Bertópolis;0.594
4284;Carrasco Bonito;0.594
4284;Batalha;0.594
4284;Condado;0.594
4284;Anísio de Abreu;0.594
4284;Areia;0.594
4284;Teodoro Sampaio;0.594
4284;São Félix do Xingu;0.594
4284;São Domingos do Araguaia;0.594
4284;Varzelândia;0.594
4284;Óbidos;0.594
4284;Itororó;0.594
4284;Tapiramutá;0.594
4284;Bannach;0.594
4284;Pintópolis;0.594
4284;Normandia;0.594
4284;Riacho de Santo Antônio;0.594
4284;Santana dos Garrotes;0.594
4284;Quiterianópolis;0.594
4284;Custódia;0.594
4284;São Julião;0.594
4284;Ocara;0.594
4284;Anamã;0.594
4284;São Sebastião de Lagoa de Roça;0.594
4284;Rio do Pires;0.594
4309;Miravânia;0.593
4309;Pedra Mole;0.593
4309;Jardim do Mulato;0.593
4309;João Dourado;0.593
4309;Belém;0.593
4309;Aragominas;0.593
4309;Pão de Açúcar;0.593
4309;Jacaraci;0.593
4309;Buenos Aires;0.593
4309;Glória;0.593
4309;Diamante;0.593
4309;Ubatã;0.593
4309;Santa Terezinha;0.593
4309;São Bento do Una;0.593
4309;Carnaubal;0.593
4309;Maraú;0.593
4309;Comercinho;0.593
4309;União dos Palmares;0.593
4309;Campo Novo de Rondônia;0.593
4309;Tacuru;0.593
4309;São Miguel das Matas;0.593
4309;Tamandaré;0.593
4331;Santanópolis;0.592
4331;Caridade;0.592
4331;Santa Rosa de Lima;0.592
4331;Brejolândia;0.592
4331;Pedrinhas;0.592
4331;Juruti;0.592
4331;Nova Belém;0.592
4331;Mazagão;0.592
4331;Tartarugalzinho;0.592
4331;Juvenília;0.592
4331;Venturosa;0.592
4331;Conceição do Tocantins;0.592
4331;Fronteira dos Vales;0.592
4331;Passira;0.592
4331;Coração de Maria;0.592
4331;Itapetim;0.592
4331;Cupira;0.592
4331;Barão de Grajaú;0.592
4331;Araçoiaba;0.592
4331;Agrestina;0.592
4331;Alvarenga;0.592
4331;Ingá;0.592
4331;São Vicente Ferrer;0.592
4331;Coremas;0.592
4331;Conceição;0.592
4331;Caiçara;0.592
4331;Itaju do Colônia;0.592
4331;Bom Sucesso;0.592
4331;Belém;0.592
4331;Viçosa;0.592
4331;Tenente Ananias;0.592
4331;Serrinha;0.592
4331;Riachuelo;0.592
4331;Souto Soares;0.592
4331;Governador Dix-Sept Rosado;0.592
4331;Brejinho;0.592
4331;Antas;0.592
4331;Alto Alegre dos Parecis;0.592
4331;Miraíma;0.592
4331;São Gabriel;0.592
4331;Queimadas;0.592
4372;Quixelô;0.591
4372;Riacho de Santana;0.591
4372;Ibiracatu;0.591
4372;Mirandiba;0.591
4372;Santana do Matos;0.591
4372;Dom Basílio;0.591
4372;São Miguel do Gostoso;0.591
4372;Cuité;0.591
4372;São Caitano;0.591
4372;Presidente Médici;0.591
4372;Ibicoara;0.591
4372;Brejo Grande do Araguaia;0.591
4372;São Miguel do Guamá;0.591
4372;Regeneração;0.591
4372;Jerumenha;0.591
4372;Santana do Ipanema;0.591
4372;Umari;0.591
4372;São Miguel dos Milagres;0.591
4372;Pocinhos;0.591
4372;Iuiú;0.591
4372;Candiba;0.591
4372;Pires Ferreira;0.591
4372;São José de Piranhas;0.591
4395;Frei Gaspar;0.590
4395;Utinga;0.590
4395;Croatá;0.590
4395;São Domingos do Azeitão;0.590
4395;Santana do São Francisco;0.590
4395;Paratinga;0.590
4395;Pai Pedro;0.590
4395;Cotegipe;0.590
4395;Sapucaia;0.590
4395;Pedras de Fogo;0.590
4395;Ararendá;0.590
4395;Porto do Mangue;0.590
4395;Buriti Bravo;0.590
4395;Montadas;0.590
4395;Marcos Parente;0.590
4395;Santa Maria;0.590
4395;Canavieiras;0.590
4395;Ipupiara;0.590
4395;Mundo Novo;0.590
4395;Serrolândia;0.590
4395;Santa Maria da Boa Vista;0.590
4416;Esplanada;0.589
4416;Coronel Sapucaia;0.589
4416;Lago da Pedra;0.589
4416;Redenção do Gurguéia;0.589
4416;Lagoa de Velhos;0.589
4416;Lajeado Novo;0.589
4416;Passagem;0.589
4416;Baianópolis;0.589
4416;Anguera;0.589
4416;São Domingos do Cariri;0.589
4416;Bujari;0.589
4416;Conceição do Canindé;0.589
4416;Dormentes;0.589
4416;Theobroma;0.589
4416;Neópolis;0.589
4416;Paulo Jacinto;0.589
4416;Monte Alegre;0.589
4416;Frei Paulo;0.589
4416;Uruará;0.589
4416;Paraná;0.589
4416;Tocantínia;0.589
4416;Palestina do Pará;0.589
4416;Piranhas;0.589
4416;Olho D'Água das Cunhãs;0.589
4416;Carnaubais;0.589
4416;São Pedro;0.589
4416;Itagibá;0.589
4416;Bom Jesus do Tocantins;0.589
4444;Luís Domingues;0.588
4444;Afrânio;0.588
4444;Carira;0.588
4444;Caldeirão Grande do Piauí;0.588
4444;Assis Brasil;0.588
4444;São Domingos;0.588
4444;Pedrão;0.588
4444;Ataléia;0.588
4444;Belterra;0.588
4444;Morrinhos;0.588
4444;Colônia do Piauí;0.588
4444;Tailândia;0.588
4444;Morro do Chapéu;0.588
4444;Paranhos;0.588
4444;Andorinha;0.588
4444;Boca do Acre;0.588
4444;Aramari;0.588
4444;Urbano Santos;0.588
4444;Feira da Mata;0.588
4444;Camocim de São Félix;0.588
4444;Urucurituba;0.588
4444;Santa Luz;0.588
4444;Maués;0.588
4467;Santana do Acaraú;0.587
4467;Castelo do Piauí;0.587
4467;São Francisco;0.587
4467;Pé de Serra;0.587
4467;Guaraqueçaba;0.587
4467;Dom Feliciano;0.587
4467;Nossa Senhora da Glória;0.587
4467;Paulista;0.587
4467;Moita Bonita;0.587
4467;Malhador;0.587
4467;Wagner;0.587
4467;Monte Horebe;0.587
4467;Umirim;0.587
4467;Presidente Vargas;0.587
4467;Caiçara do Rio do Vento;0.587
4467;Coronel Ezequiel;0.587
4467;Joaíma;0.587
4467;Tupiratins;0.587
4467;Cachoeira dos Índios;0.587
4467;Montezuma;0.587
4467;Santarém Novo;0.587
4467;Canarana;0.587
4467;Nova União;0.587
4467;Vera Cruz;0.587
4467;Candeal;0.587
4467;Poço Branco;0.587
4467;Santa Teresinha;0.587
4467;Nova Mamoré;0.587
4495;Viçosa;0.586
4495;Laje;0.586
4495;Coari;0.586
4495;Nhamundá;0.586
4495;Nossa Senhora de Nazaré;0.586
4495;Miguel Calmon;0.586
4495;Ibiara;0.586
4495;Porto Calvo;0.586
4495;Tavares;0.586
4495;Serra Grande;0.586
4495;Tomé-Açu;0.586
4495;Esperantinópolis;0.586
4495;Campo Formoso;0.586
4495;Itaquitinga;0.586
4495;Varzedo;0.586
4495;Chaval;0.586
4495;Barreiros;0.586
4495;Coqueiro Seco;0.586
4495;Sussuapara;0.586
4495;Palmas de Monte Alto;0.586
4515;São Tomé;0.585
4515;Alto Longá;0.585
4515;Ibitiara;0.585
4515;Baixa Grande;0.585
4515;Nacip Raydan;0.585
4515;Lagoa Nova;0.585
4515;Olho-D'Água do Borges;0.585
4515;Central do Maranhão;0.585
4515;São Caetano de Odivelas;0.585
4515;Rio Tinto;0.585
4515;Crisólita;0.585
4515;Cícero Dantas;0.585
4515;Nina Rodrigues;0.585
4515;Granjeiro;0.585
4515;Sairé;0.585
4515;Laranjal;0.585
4515;Solidão;0.585
4515;Caraúbas;0.585
4515;Xique-Xique;0.585
4515;Choró;0.585
4515;Curral de Dentro;0.585
4515;Sento Sé;0.585
4515;Mamanguape;0.585
4515;Alegrete do Piauí;0.585
4515;Afonso Bezerra;0.585
4540;Verdelândia;0.584
4540;Tejuçuoca;0.584
4540;Nova Iorque;0.584
4540;Santo Antônio de Lisboa;0.584
4540;Juarina;0.584
4540;Parari;0.584
4540;Matriz de Camaragibe;0.584
4540;Riacho da Cruz;0.584
4540;Landri Sales;0.584
4540;Lajedo do Tabocal;0.584
4540;Tabocas do Brejo Velho;0.584
4540;Itanagra;0.584
4540;Umbuzeiro;0.584
4540;Ibipitanga;0.584
4540;Ibicuí;0.584
4540;Érico Cardoso;0.584
4540;Cavalcante;0.584
4540;Vale do Anari;0.584
4540;Cafarnaum;0.584
4540;São Francisco do Brejão;0.584
4540;Feira Nova;0.584
4540;Bom Jesus;0.584
4562;Canavieira;0.583
4562;Carnaíba;0.583
4562;Capitão de Campos;0.583
4562;Senador Elói de Souza;0.583
4562;Cristália;0.583
4562;Jacaré dos Homens;0.583
4562;Buritirana;0.583
4562;Felisburgo;0.583
4562;Coluna;0.583
4562;Pinhão;0.583
4562;Lagoa do Piauí;0.583
4562;Aiquara;0.583
4562;Cabeceiras do Piauí;0.583
4562;Logradouro;0.583
4562;Paramoti;0.583
4562;Lucena;0.583
4562;Aroazes;0.583
4562;São João da Ponta;0.583
4562;Pedro Avelino;0.583
4562;Itaueira;0.583
4562;Macambira;0.583
4562;Dois Irmãos do Tocantins;0.583
4562;Pau Brasil;0.583
4562;Praia Norte;0.583
4562;Floresta do Araguaia;0.583
4562;São José da Safira;0.583
4562;Itacaré;0.583
4562;Santa Bárbara;0.583
4590;Condeúba;0.582
4590;Aricanduva;0.582
4590;Loreto;0.582
4590;Maracaçumé;0.582
4590;São Domingos do Maranhão;0.582
4590;Ubaíra;0.582
4590;Catolândia;0.582
4590;Vertentes;0.582
4590;Alhandra;0.582
4590;Alagoa Grande;0.582
4590;Itatim;0.582
4590;Serra de São Bento;0.582
4590;Medicilândia;0.582
4590;Curuçá;0.582
4590;Isaías Coelho;0.582
4590;Lagoa Salgada;0.582
4590;Júlio Borges;0.582
4590;Iracema;0.582
4590;Rubelita;0.582
4590;Bento Fernandes;0.582
4590;Manicoré;0.582
4590;São João da Serra;0.582
4590;Mombaça;0.582
4590;Acajutiba;0.582
4614;Baía da Traição;0.581
4614;Darcinópolis;0.581
4614;Vila Nova dos Martírios;0.581
4614;Curaçá;0.581
4614;São Sebastião do Maranhão;0.581
4614;Mata Verde;0.581
4614;Anapurus;0.581
4614;Mascote;0.581
4614;Cabaceiras do Paraguaçu;0.581
4614;Poranga;0.581
4614;Anajatuba;0.581
4614;Tenório;0.581
4614;Aracatu;0.581
4614;São Sebastião do Umbuzeiro;0.581
4614;Nova Ipixuna;0.581
4614;Lima Campos;0.581
4614;Sigefredo Pacheco;0.581
4614;Lago do Junco;0.581
4614;Camacan;0.581
4614;São José do Brejo do Cruz;0.581
4614;Nova Olinda do Maranhão;0.581
4614;Peixe-Boi;0.581
4614;Moraújo;0.581
4614;Congo;0.581
4638;Limoeiro de Anadia;0.580
4638;Fervedouro;0.580
4638;Paraibano;0.580
4638;Indiaroba;0.580
4638;Tamboril;0.580
4638;Jaguaquara;0.580
4638;Maurilândia do Tocantins;0.580
4638;Amaraji;0.580
4638;Fortuna;0.580
4638;São Francisco;0.580
4638;São Bento;0.580
4638;Ibirajuba;0.580
4638;Ponto Novo;0.580
4638;Desterro;0.580
4638;Elesbão Veloso;0.580
4638;Primavera;0.580
4654;Tanque do Piauí;0.579
4654;Cordeiros;0.579
4654;Umbaúba;0.579
4654;Juarez Távora;0.579
4654;São Desidério;0.579
4654;Cachoeirinha;0.579
4654;Pilar;0.579
4654;Sucupira do Norte;0.579
4654;Areia Branca;0.579
4654;Remanso;0.579
4654;Banzaê;0.579
4654;Lagoa do Tocantins;0.579
4654;Ipaporanga;0.579
4654;Cipotânea;0.579
4654;Tucano;0.579
4654;Canguaretama;0.579
4670;Aparecida;0.578
4670;Belém de Maria;0.578
4670;Machados;0.578
4670;Alcantil;0.578
4670;Taperoá;0.578
4670;Caririaçu;0.578
4670;Baião;0.578
4670;Curuá;0.578
4670;Piritiba;0.578
4670;Belém do Brejo do Cruz;0.578
4670;Riachão das Neves;0.578
4670;Alvorada do Gurguéia;0.578
4670;Aquidabã;0.578
4670;São José do Bonfim;0.578
4670;Cachoeira de Pajeú;0.578
4670;Monte Alegre do Piauí;0.578
4670;Terra Nova;0.578
4670;Firmino Alves;0.578
4670;Malhada de Pedras;0.578
4670;Itamari;0.578
4670;Coronel João Pessoa;0.578
4670;Itambé;0.578
4670;Bacuri;0.578
4670;Antônio Martins;0.578
4670;Quixabeira;0.578
4695;Cametá;0.577
4695;Primavera;0.577
4695;Brasileira;0.577
4695;Francisco Ayres;0.577
4695;Tanhaçu;0.577
4695;Barra D'Alcântara;0.577
4695;São Sebastião do Uatumã;0.577
4695;Quixaba;0.577
4695;Santa Cruz de Salinas;0.577
4695;Gracho Cardoso;0.577
4695;Contendas do Sincorá;0.577
4695;Vereda;0.577
4695;Santa Cruz dos Milagres;0.577
4695;Barra do Rocha;0.577
4695;Nossa Senhora Aparecida;0.577
4695;Autazes;0.577
4695;Ibaretama;0.577
4695;Paripiranga;0.577
4695;União;0.577
4695;Pindobaçu;0.577
4695;São José de Espinharas;0.577
4695;Barra de Guabiraba;0.577
4695;Mar Vermelho;0.577
4718;João Alfredo;0.576
4718;Itaubal;0.576
4718;Ibirataia;0.576
4718;Goiatins;0.576
4718;Olho D'Água do Piauí;0.576
4718;Irajuba;0.576
4718;Canto do Buriti;0.576
4718;Carinhanha;0.576
4718;Nazaré do Piauí;0.576
4718;Exu;0.576
4718;Maiquinique;0.576
4718;Rio do Antônio;0.576
4718;Frei Miguelinho;0.576
4718;Riachão;0.576
4718;Tarrafas;0.576
4718;Pirapemas;0.576
4718;Alagoa Nova;0.576
4718;Coroatá;0.576
4718;Bela Vista do Piauí;0.576
4718;Gongogi;0.576
4718;Água Boa;0.576
4718;Poção de Pedras;0.576
4718;Porto Acre;0.576
4718;Vila Flor;0.576
4742;Piripá;0.575
4742;Saboeiro;0.575
4742;Montes Altos;0.575
4742;Belo Campo;0.575
4742;Jupi;0.575
4742;Parnaguá;0.575
4742;Junqueiro;0.575
4742;Mocajuba;0.575
4742;Jaqueira;0.575
4742;Paes Landim;0.575
4742;Itambé;0.575
4742;Botuporã;0.575
4742;Simões;0.575
4742;Capixaba;0.575
4742;Abaré;0.575
4742;Barra da Estiva;0.575
4742;Aratuípe;0.575
4742;Jitaúna;0.575
4742;Chã Preta;0.575
4742;Boa Hora;0.575
4742;Olinda Nova do Maranhão;0.575
4742;Várzea do Poço;0.575
4764;Riachão;0.574
4764;Baraúna;0.574
4764;Santa Inês;0.574
4764;Igrapiúna;0.574
4764;Brejinho;0.574
4764;Pedra Lavrada;0.574
4764;São Félix do Tocantins;0.574
4764;Santo Antônio do Jacinto;0.574
4764;Carutapera;0.574
4764;Buriti dos Montes;0.574
4764;Maragogi;0.574
4764;Iaçu;0.574
4764;Pau D'Arco;0.574
4764;Catingueira;0.574
4764;Januário Cicco;0.574
4764;Pindoba;0.574
4764;Benjamin Constant;0.574
4764;Santana do Piauí;0.574
4764;Mogeiro;0.574
4764;Caiçara do Norte;0.574
4764;Bonito de Santa Fé;0.574
4764;Barreirinha;0.574
4786;Manoel Emídio;0.573
4786;Ipueiras;0.573
4786;Pedra Bonita;0.573
4786;São José da Laje;0.573
4786;São Sebastião do Tocantins;0.573
4786;Capela;0.573
4786;Nova Olinda;0.573
4786;Carnaubeira da Penha;0.573
4786;Cerro Azul;0.573
4786;Caldeirão Grande;0.573
4786;São José do Peixe;0.573
4786;Sossêgo;0.573
4786;Alcântara;0.573
4786;Tacaratu;0.573
4786;Cristalândia do Piauí;0.573
4786;Sobrado;0.573
4802;Alvorada de Minas;0.572
4802;São Brás;0.572
4802;Piaçabuçu;0.572
4802;Ouricuri;0.572
4802;Cumaru;0.572
4802;Angelim;0.572
4802;Santa Inês;0.572
4802;Olho D'Água;0.572
4802;Maturéia;0.572
4802;Itaeté;0.572
4802;Barra de São Miguel;0.572
4802;Água Branca;0.572
4802;Itapebi;0.572
4802;Touros;0.572
4802;Sítio Novo;0.572
4802;Mairi;0.572
4802;Matina;0.572
4802;Planaltino;0.572
4802;Rio Real;0.572
4802;Rio Grande do Piauí;0.572
4802;Tuntum;0.572
4802;São Bernardo;0.572
4802;Governador Eugênio Barros;0.572
4802;Riachinho;0.572
4802;Inhangapi;0.572
4827;Vieirópolis;0.571
4827;Calumbi;0.571
4827;Várzea Grande;0.571
4827;Santa Helena;0.571
4827;Novo Cruzeiro;0.571
4827;Itapitanga;0.571
4827;Pedro Ii;0.571
4827;Barroquinha;0.571
4827;Jussara;0.571
4827;Viçosa do Ceará;0.571
4827;Caturama;0.571
4827;Piatã;0.571
4827;Iramaia;0.571
4827;Palmeirante;0.571
4841;Lizarda;0.570
4841;Maracanã;0.570
4841;Juazeiro do Piauí;0.570
4841;Cuitegi;0.570
4841;Graça;0.570
4841;Graça Aranha;0.570
4841;Pitimbu;0.570
4841;Parambu;0.570
4841;Barreirinhas;0.570
4841;Santo Antônio do Retiro;0.570
4841;Nova Ibiá;0.570
4841;Riacho das Almas;0.570
4841;São Francisco do Piauí;0.570
4841;Brotas de Macaúbas;0.570
4841;Vitorino Freire;0.570
4841;Esperantina;0.570
4841;São João;0.570
4841;Lagoa de Dentro;0.570
4841;Casa Nova;0.570
4841;Araças;0.570
4841;Serra Redonda;0.570
4841;Campo Alegre;0.570
4841;Senador Georgino Avelino;0.570
4841;Ituaçu;0.570
4841;Japaratinga;0.570
4841;Novo Airão;0.570
4841;Mata Roma;0.570
4841;Juru;0.570
4869;Rio do Fogo;0.569
4869;Taipu;0.569
4869;Aiuaba;0.569
4869;Japi;0.569
4869;Caapiranga;0.569
4869;Centenário;0.569
4869;Maravilha;0.569
4869;Sapé;0.569
4869;Guajeru;0.569
4869;Jandaíra;0.569
4869;Igarapé do Meio;0.569
4869;Canhoba;0.569
4869;Panelas;0.569
4869;Governador Nunes Freire;0.569
4869;São João da Ponte;0.569
4884;Messias;0.568
4884;Igreja Nova;0.568
4884;Gonçalves Dias;0.568
4884;Anadia;0.568
4884;Careiro da Várzea;0.568
4884;Congonhas do Norte;0.568
4884;Cortês;0.568
4884;Salgado de São Félix;0.568
4884;General Sampaio;0.568
4884;Ourém;0.568
4884;Aurelino Leal;0.568
4884;Riacho dos Cavalos;0.568
4884;Breu Branco;0.568
4884;Porto da Folha;0.568
4884;Pedro Velho;0.568
4884;Bananeiras;0.568
4884;Caldas Brandão;0.568
4884;Apicum-Açu;0.568
4884;Sucupira do Riachão;0.568
4903;Pureza;0.567
4903;Jussari;0.567
4903;Rodrigues Alves;0.567
4903;Camalaú;0.567
4903;Santa Rosa do Piauí;0.567
4903;Boa Nova;0.567
4903;Juazeirinho;0.567
4903;Barra de Santana;0.567
4903;Magalhães de Almeida;0.567
4903;Araruna;0.567
4903;Canindé de São Francisco;0.567
4903;Massaranduba;0.567
4903;Santa Helena de Minas;0.567
4903;Euclides da Cunha;0.567
4903;Casinhas;0.567
4903;Nova Redenção;0.567
4903;Pedra;0.567
4903;São Miguel do Aleixo;0.567
4921;Nova Colinas;0.566
4921;Barcelona;0.566
4921;Major Isidoro;0.566
4921;Santo Antônio dos Lopes;0.566
4921;Concórdia do Pará;0.566
4921;Cubati;0.566
4921;Pimenteiras;0.566
4921;Teofilândia;0.566
4921;Jatobá do Piauí;0.566
4921;Uruoca;0.566
4921;Livramento;0.566
4921;Manoel Vitorino;0.566
4921;Vista Serrana;0.566
4921;Cristino Castro;0.566
4921;Mulungu do Morro;0.566
4921;Lagoa do Mato;0.566
4921;São José do Jacuri;0.566
4921;Calçado;0.566
4921;Serra Preta;0.566
4921;Taperoá;0.566
4941;Prata do Piauí;0.565
4941;Sambaíba;0.565
4941;Senhora do Porto;0.565
4941;São José do Divino;0.565
4941;Buritirama;0.565
4941;Boa Vista do Ramos;0.565
4941;Governador Archer;0.565
4941;Inhambupe;0.565
4941;Camamu;0.565
4941;Jardim de Angicos;0.565
4941;Palmópolis;0.565
4941;Canápolis;0.565
4941;Olho D'Água das Flores;0.565
4941;São José de Caiana;0.565
4941;São José de Princesa;0.565
4941;Mulungu;0.565
4941;Coivaras;0.565
4941;Mato Grosso;0.565
4941;Feliz Deserto;0.565
4941;Buriti dos Lopes;0.565
4941;Cantanhede;0.565
4941;Filadélfia;0.565
4941;Bodocó;0.565
4941;Vila Nova do Piauí;0.565
4965;Peritoró;0.564
4965;Gararu;0.564
4965;Sítio Novo;0.564
4965;Pio Ix;0.564
4965;Galinhos;0.564
4965;Pilõezinhos;0.564
4965;Alenquer;0.564
4965;Josenópolis;0.564
4965;Araripe;0.564
4965;Itapororoca;0.564
4965;Cacimba de Dentro;0.564
4965;Sítio do Mato;0.564
4965;Francinópolis;0.564
4965;Coelho Neto;0.564
4965;Água Azul do Norte;0.564
4965;Igaci;0.564
4965;Baixa Grande do Ribeiro;0.564
4965;Rafael Jambeiro;0.564
4965;Teotônio Vilela;0.564
4984;Porto Alegre do Piauí;0.563
4984;Salgadinho;0.563
4984;Ilha Grande;0.563
4984;Vertente do Lério;0.563
4984;Presidente Juscelino;0.563
4984;Codajás;0.563
4984;Eirunepé;0.563
4984;Patos do Piauí;0.563
4984;Faro;0.563
4984;Heliópolis;0.563
4984;Minador do Negrão;0.563
4984;Almadina;0.563
4984;São Miguel da Baixa Grande;0.563
4984;Presidente Juscelino;0.563
4984;Piçarra;0.563
4984;Bom Conselho;0.563
4984;Madeiro;0.563
4984;Lagoa;0.563
5002;Cajazeiras do Piauí;0.562
5002;Brejo da Madre de Deus;0.562
5002;Marcolândia;0.562
5002;Matias Olímpio;0.562
5002;Orizânia;0.562
5002;Jundiá;0.562
5002;Nazarezinho;0.562
5002;Ilha das Flores;0.562
5002;Ponta de Pedras;0.562
5002;Malhada;0.562
5002;Novo Oriente do Piauí;0.562
5002;Palmeirais;0.562
5002;Trairão;0.562
5002;Cajueiro;0.562
5002;Canudos;0.562
5002;Itatira;0.562
5002;Pedro Laurentino;0.562
5002;Areia de Baraúnas;0.562
5002;Itatuba;0.562
5002;Barra de Santa Rosa;0.562
5002;Itaguaçu da Bahia;0.562
5002;Potengi;0.562
5002;Sebastião Leal;0.562
5002;Bom Lugar;0.562
5002;Brejo;0.562
5027;Marcionílio Souza;0.561
5027;Atalaia;0.561
5027;Bonito;0.561
5027;Anori;0.561
5027;Geminiano;0.561
5027;Itaporanga D'Ajuda;0.561
5027;Turiaçu;0.561
5027;Poço Verde;0.561
5027;Tutóia;0.561
5027;América Dourada;0.561
5027;João Costa;0.561
5027;Cândido Mendes;0.561
5027;Antônio Cardoso;0.561
5027;Dirceu Arcoverde;0.561
5027;Paulino Neves;0.561
5027;Passagem Franca do Piauí;0.561
5027;Socorro do Piauí;0.561
5027;Joselândia;0.561
5027;Caatiba;0.561
5027;Jatobá;0.561
5027;Bonito;0.561
5027;Monsenhor Hipólito;0.561
5049;Campo Grande do Piauí;0.560
5049;Sericita;0.560
5049;Eldorado dos Carajás;0.560
5049;Arraial;0.560
5049;Borba;0.560
5049;Goianésia do Pará;0.560
5049;Pilões;0.560
5049;Nordestina;0.560
5049;Amaturá;0.560
5049;São Gonçalo do Gurguéia;0.560
5049;Conde;0.560
5049;Fagundes;0.560
5049;Ourolândia;0.560
5049;Una;0.560
5049;Japoatã;0.560
5049;Planalto;0.560
5049;Boqueirão do Piauí;0.560
5066;Presidente Tancredo Neves;0.559
5066;Arataca;0.559
5066;Pedra Grande;0.559
5066;Olindina;0.559
5066;Betânia;0.559
5066;Irituia;0.559
5066;Fátima;0.559
